Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
lookinatlede,1562,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""watching the best netflix movie"""
TWlCESBABY,148,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""watch netflix* omg m stupid"""
drutbergler,0,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""@halaljew @ByYourLogic Rocko's Modern Life, Invader Zim, and 
n word being dropped at a comedy show. Truly the netflix nostalgia trio"""
syriantongue,163,98,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""i think its very sexy of netflix to have all the twilight movies"""
pdepipoca,83,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@afordprincess @netflix Share https://t.co/MQSzZ7YJBZ"""
zgnproductions,12,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Our director @ChrisHanna74 representing our @tonyromo Documentary Film @noworneverdoc at the 2019 @plazaclassic Film Festival in El Paso, TX! @espn @600espnelpaso @HBO @netflix @dallascowboys @NFL @NFLFilms https://t.co/HqYFWomPbk"""
catjoliie,745,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""YouTube."""
alliehryu,28,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Truly embarrassing."""
Reuters,20644752,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""WATCH: How the likes of Disney and Apple could topple Netflix as king of the hill in streaming. @OneHitGit dives into the details https://t.co/5WVsZDnjiE https://t.co/eWGbtNqzOA"""
WiCnet,139780,97,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Did Netflix make the right call signing the Game of Thrones showrunners to a multi-million dollar development deal? Join our discussion! https://t.co/UO9fR3H6Fr"""
mzlolaa,13261,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Right @netflix"""
Otterautism,177,92,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Seriously @netflix why haven't you released the soundtrack for @The_OA so fans can buy it?! Do you really not want our money? #TheOAisReal
#ReleaseTheOASoundtrackAtLeast"""
BenxysGraphics,510,100,NONE,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@Gh6ul_ imagine using netflix"""
Le_Mags_,405,92,P+,AGREEMENT,OBJECTIVE,NONIRONIC,"""Boomers now have unlimited access to tecnology like tv cable, Netflix or YT in their living rooms. You told them how to use it and eventually they prove they're perfectly capable of using it with no problem.

ANS STILL ONLY WATCH LOCAL TV."""
DrDavidSoldani,98,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Have you watched the documentary? #Netflix https://t.co/ICZIT9iZbd"""
MOYOURMEADOW,827,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@dab24156 Did u watch it on Netflix"""
OneAcmeMan,231,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""I got a new TV and the remote has a ""NETFLIX"" button. I guess I shouldn't have been surprised when I pressed it and Netflix started.

#IAmMyGrandpaNow"""
Keeeawan,2116,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Any suggestions for series on Netflix i should watch?"""
TODDCastPodcast,8371,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Loved #DarkCrystal as a kid! Excited to see the #AgeOfResistance on Netflix. Coming Aug30. Watch the new trailer. https://t.co/vX6NdDm5XA https://t.co/IuZkM6QsEj"""
sethshore,136,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@rafejudkins #DerryGirls is one of the best shows in Netflix atm."""
sus_wilki,13,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#WatchTheOA to #SaveTheOA bc #TheOAisReal - come on @netflix !"""
nrizhavana,245,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Ian Somerhalder making another show about vampires and for Netflix??? Yes please"""
zgnproductions,12,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Our full production team representing our Documentary Film @RIFFfilmfest @noworneverdoc on the life &amp; career of @dallascowboys former QB @tonyromo ! Our first academy qualifying film festival of the season! @espn @600espnelpaso @HBO @netflix @dallascowboys @NFL @NFLFilms https://t.co/pz87y9Twwl"""
Abba597,926,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""926 useless followers"""
lpsteamhope,1005,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@lanaoutlawqueen @JoshDallas @BravoTV @eentertainment Well check Hulu or Netflix.  Check Bravo or E-Entertainment for streaming options.  Good Luck"""
sagittarius_xii,225,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""working moms on netflix is such a good show wallah"""
kevin_muratore,113,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Netflix is straight Russo-phobic."""
Dr_Gchxa,81,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@RahulKohli13 @netflix Did anyone know that Malcom aka Clive was in party rock anthem? I just found out today. https://t.co/tL8aS85Ihi"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@sierramoniquee Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
vinylcyclist,840,86,N,DISAGREEMENT,OBJECTIVE,NONIRONIC,"""Watching 80s horror films on Netflix is still weird to me. Wide-screen and not on a dodgy VHS connected to my 14 inch portable? Unthinkable. The future is now."""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@allythompson8 Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@moltenheadaches Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@MaybellineMfc Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@gladgirI Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@sweetestnerd_ Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
CarolineRoth4,10,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""New Netflix original series...coming summer 2020 https://t.co/8snqoD53Sc"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@mostlygeordie Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@4munaa Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@Baeza_luis16 Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@Zainab7730 Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@jamesjackson252 Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@luvitwhenyoucry Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@lolmas83 Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@JSmillies Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@ShallowFN Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@Dani_Masterson Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@retajaalharbi Hi! Looking for movies to watch on Netflix? We've taken all the best movie lists and put them in one place. Hope you find something to watch! https://t.co/5H8WSHGNe7"""
WeAreTheRyan,61,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""When I was in the funny farm, the techs would bring out a TV with Netflix for all is wack jobs to watch whenever one of the group therapy or art therapy or whoever volunteers failed to show up, which was a LOT,... https://t.co/gGVwKotXCe"""
asre_edgar,248,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@Alejandra4ey @Askalaunad @Joloading_ @NEHeartbreakKid @netflix College discount is like $5.99"""
NChammakhi,119,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Omg xD #WatchTheOA"""
aunt_ada_doom,29,94,NEU,DISAGREEMENT,OBJECTIVE,NONIRONIC,"""The Great Hack on Netflix - investigating multinational mining and selling of personal data from Facebook. The role of Cambridge Analytica in using this to target individual voters with online pro leave propaganda and fake news during US Electoral Campaign and BREXIT referendum. https://t.co/ckJ7eQjZ7W"""
alankaya_ali,95,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Y'a pas GTO sur Netflix ?"""
Prxscillaidk,9160,97,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Yo my heart is breaking right now."""
careylinreed,4,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@netflix i do not hint but .. you know))))) #wayne https://t.co/w5au94o41s"""
openculture,430306,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Watch for it at the 3:32 mark of the film."""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@ckirky87 Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@The_Kynadian Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@HarlFN Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
SAspihesi,929,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Can you just save #Shadowhunters already? We won't stop, we won't go silent. You know that. Just do it.
#SaveShadowhunters
@ConstantinFilm @mmoszkowicz @netflix @OliverBerben @ABCNetwork @BBC @CBC @CBS @nbc @AMC_TV @HBO @FOXTV @FXNetworks @SonyTV @hulu @ShowcaseTV @AmazonStudios"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@LaMcKnightsr Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@janedoe842 Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
hiddenlionz,253,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""watch blue jay please"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@ForzaLiverpooI Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@nellymidwest Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@clea_mashego Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@Abba597 Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@TrapHouse_girl Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@skberry64 Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@deannalprince Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@ZakriaAlyami Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@WillierMelody Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
tonymalone_1,582,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""A genuinely just watch the same shite on netflix all the time because the reality of it is ill be sleeping 10 minutes in"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@JGarxiia_ Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
truejohnd,208,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""@MarkDuplass @netflix In Netflix Spain (@NetflixES) we also have Creep and Creep 2 . I think that your work there were fantastic, you gave me so fucking chills. I really loved them. Thanks for all Mark (and @patrick_brice too!)"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@Hirdiegirdieme Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@electricelmslie Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@OrnellaSXO Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@drsharnael Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@selfcaregemini2 Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@misokook Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@Beijafro_ Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@AbiiMaryy Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
TribalistSF,13727,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@MrMustard Hi! Looking for shows on Netflix to watch? We've taken all the best lists and put them in one place. Hope you find something to watch! https://t.co/JmdOAj40Qt"""
