Username,Followers,Score_tag,Tweet
worshipmaree1,122,N,"""None"""
CindyLizardo,276,NONE,"""None"""
lojesus98,52,N+,"""None"""
BlavkWaterPark,98,N+,"""None"""
McChidi1,1302,NONE,"""None"""
Rachel_Saenz_,22,N+,"""None"""
pietraabrweu,61,NONE,"""None"""
ketchup16lmary,474,P,"""None"""
Berkyriee,338,N+,"""None"""
Rafaela43924940,221,NONE,"""None"""
saadbusahl,700,NONE,"""None"""
FakeAlessiaFio,19,P,"""None"""
Bandzb3,64,NONE,"""None"""
sweetasianchic,243,N+,"""None"""
kevROSHAY,2289,NONE,"""None"""
worshipmaree1,122,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
CindyLizardo,276,NONE,"""So does everyone"""
lojesus98,52,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
BlavkWaterPark,98,NONE,"""Oh my fucking god"""
McChidi1,1302,NONE,"""Or pressure cooker."""
Rachel_Saenz_,22,NONE,"""@ every game of thrones faggot on here https://t.co/QJxtyudICd"""
pietraabrweu,61,NONE,"""RT @abezerraigor: J.K. Rowling Reveals that Arya stark is the transgender Harry Potter All Along https://t.co/QP2TU0kqLQ"""
ketchup16lmary,474,N,"""RT @danytargyryen: not gonna lie drogon trying to wake dany up ripped my heart right out of my chest https://t.co/qtTNvkPoN9"""
Berkyriee,338,NONE,"""RT @annalearyx: Tyrion Lannister making sure Cersei Lannister is definitely dead #GameOfThonesFinale https://t.co/Vy27X9vHon"""
Rafaela43924940,221,N+,"""RT @ailejandra18: Daenerys being carried away by Drogon https://t.co/uQkjcyEMWf"""
saadbusahl,700,NONE,"""RT @JosphineMamdouh: Day 1 without game of thrones https://t.co/fVXTuMGnQ8"""
FakeAlessiaFio,19,NONE,"""RT @mollymcnearney: We should try holding our politicians to the same standard we've set for producers of Game of Thrones."""
Bandzb3,64,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
sweetasianchic,243,N,"""RT @sbstryker: Sansa telling a mediocre straight white man to sit the fuck down added five years to my life span"""
kevROSHAY,2289,NONE,"""RT @peterberkes: We dug coal together https://t.co/Jz3qceddnd"""
midoo0,13009,NONE,"""RT @Yamuva_: Dracarys https://t.co/Hi4BjMU06C"""
lorloLauren,403,NONE,"""Weiss and Benioff really DGAF."""
19Bea91,145,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
ForeverTiredBih,173,NONE,"""RT @ShackAndretti: I hear that but the nigga was a dragon https://t.co/PHTs4ylxnx"""
firstnamescott,421,N,"""RT @JensenKarp: Can't wait to start watching HBO's Game Of Thrones tonight and then eventually hate it's finale"""
TribalSam,370,P,"""Wow! That was cool to see"""
Preachingpeachy,25,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
CassChen_,483,NONE,"""RT @odairannies: sansa's coronation was literally one of the most beautiful scenes and i will never shut up about it https://t.co/cAqLlKzzad"""
cinephile27,85,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
OG_Sherlock,96,NONE,"""RT @ladyadorabeezle: Arya..... Thanks to the cast and crew of GOT for the beautiful work! #GameOfThones https://t.co/yUJCnalu91"""
worshipmaree1,122,NONE,"""RT @itsanevergreen: only Game Of Thrones could make me cry over a fucking dress https://t.co/12sSdRD8Oo"""
yuhimashi,1789,NONE,"""RT @hardfeeIng: CERSEI LANNISTER WAS THE LAST PERSON TO SIT ON THE IRON THRONE. SHE WON THE GAME. https://t.co/hNluGhyzju"""
kbeatt,249,NONE,"""RT @edbott: Eight years, one month, and 26 days later, this tweet enters the Hall of Fame. https://t.co/TJkSVNAREi"""
VikiiSchneider,48,NONE,"""Game of Thrones season 4 n 5 were magic"""
hanifaMM,161,NONE,"""@TDemolish i wanted jon and arya in winterfell with sansa"""
kiriethnicole,606,NONE,"""RT @odairannies: cersei and daenerys when they see each other in hell https://t.co/bi0ZHMcUpa"""
Kayseenendgame,202,NONE,"""RT @fairycrust: daenerys when she kissed jon snow and felt something in her chest
https://t.co/9emi70Wu2f"""
devotedlyshy,269,NONE,"""RT @fivefifths: Avatar the Last Airbender, and I say this unironically https://t.co/Sa4K3Wca8B"""
Franci_Basso,152,NONE,"""RT @ultrabrilliant: One second from every episode of Game of Thrones. https://t.co/rFz2CFLwBx"""
