Username,Followers,Confidence,Score_tag,Agreement,Subjectivity,Irony,Tweet
EcstasyOfGoble,944,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,|"@mytwidds Help me, I get my Shyamalan confused, that's the one with McAvoy pulling many durties and not the sequel?

And The Predator, you know, I thought it was perfectly adequate HBO viewing a few weeks ago. My wife liked it more than me, and she is down with Shane Black wise-ass-isms."|
kailav12,514,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"@caelestee @LTMusical @Netflix @Hulu @amazonprimenow @HBO PLEASE HIRE THIS PERSON AND MAKE THIS HAPPEN THANKS"
lovato_clarke,532,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"why is hbo go trying to make me cry https://t.co/PtUttnJzjg"
Ivneboy,240,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"omg we love that"
Dave1900,199,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC,|"@ClassicMovieHub a few tweets ago someone asked for best movie lines, I thought of a good one, HBO had a Philip Marlowe series in the 80s, in one sequence someome knocks on Marlowes door, Marlowe opens it and asks the guy "is that the dirtiest look ya got?""|
CVH_Haskell,77,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"No thanks"
InSpiteOfTrump,39714,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"The offbeat delight of "My Favorite Shapes": Julio Torres HBO special is quirky adult show-and-tell https://t.co/aowxSuCH0V"
Ronlovesbooks,771,92,N+,AGREEMENT,SUBJECTIVE,NONIRONIC,|"Can't wait, loved season 1 ."|
summerbread,2374,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"Succession excellent show on HBO. Highly recommend it. Funny as hell https://t.co/EkyAhQ4Vva"
ACCSELC,686,98,P+,AGREEMENT,OBJECTIVE,NONIRONIC,|"NOW HIRING: Turner is seeking a Senior Counsel of HBO Max to perform high level legal work, support development, licensing and production of original programming on TNT, TBS and the soon-to-launch HBO Max Streaming Service.  https://t.co/OilSD8e3XW"|
benbugge,162,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,|"Sources: HBO, 4 schools discussing access show - via @ESPN App https://t.co/VTRrNO3QZg"|
LautlosMusic,762,100,N+,AGREEMENT,SUBJECTIVE,NONIRONIC,"o shit"
charlestrotter,1634,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,|"HBO Max's Anna Kendrick/Paul Feig rom-com anthology series LOVE LIFE adds Zoe Chao, Sasha Compere and Peter Vack as series regulars alongside Kendrick, Scoot McNairy in recurring role https://t.co/c0I8Y5SWCv #TV"|
LucasCoffelt,1001,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"I would die"
lysser88,72,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"@ashley_fauxbel You can come to my house turn on the tv and watch the hbo channel"
JessicaMarren,346,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"me. This tweet is about me."
drventress,260,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"@W7VOA I wonder if hbo has a release date already?"
BrandonHomer,952,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"ASU is getting recognized! https://t.co/soxo3rTgpc"
davidcgrey,299,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,|"@AfterHoursTC @thedailyjaws @HBO Same, saw it at dromana drivin and my dad snuck me in"|
BigJ52,35,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"@NFLFilms @hbo Here you go."
johncthomasii,52,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,|"Ditching Spectrum because they offer 100s of channels, w/only about 150 original. I got tired for paying for 17 HBO channels that were only 5 original channels, but 4 versions of the same channel- noticing 0 difference in video quality b/t the HD channels/ regular.#FreeYourTV"|
RynnyRyn,1342,92,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"*pirates HBO* don't worry it's on a computer screen it's transformative"
ElOlafino,16,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,|"@Lons Why don't call it HBO+ 

Sorry, I will let myself out."|
JohnAnonNews,110,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"@alexmaxham I'll tell you how dumb AT&amp;T's name is. The rumors are AT&amp;T eventually plans to drop "HBO" from the name."
lesegokgaladi,831,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"I need something to watch on Netflix or HBO. Trying to run 2 miles today."
Salon,978066,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"The offbeat delight of "My Favorite Shapes": Julio Torres' HBO special is quirky adult show-and-tell https://t.co/YEJmyFs0hy"
ESPNChrisLarsen,711,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"Penn State listed as one of the four teams."
JuanEdits,590,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"I just want a 2nd season ASAP"
iammood_e,131,100,N+,AGREEMENT,OBJECTIVE,NONIRONIC,|"Prime, HBO, Netflix, Hulu...damn near have all the infinity stones at this point."|
carlalaura99,218,100,NONE,AGREEMENT,SUBJECTIVE,NONIRONIC,|"@ewarren And Sen Warren, what do you think of Succession on HBO?"|
MillieCordelia,976,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,|"#Gotham #SaveGotham @warnerbrostv @DCComics @warnerbros @netflix @HBO @EPIXHD All the way back to season one, Oswald Cobblepot was a crowd-pleaser. Robin Lord Taylor was the break-out actor everyone was talking about! https://t.co/xXVLVmJJcd"|
felah_,1500,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"Scientific Studies: Last Week Tonight with John Oliver (HBO) https://t.co/HkCA1gglBt via @YouTube"
